,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,score_pos,score_neg,missing_score_pos,missing_score_neg,gender_M,gender_V,client_segment_0.0,client_segment_1.0,client_segment_2.0,client_segment_3.0,client_segment_4.0,client_segment_5.0,sect_empl_0.0,sect_empl_1.0,sect_empl_2.0,sect_empl_4.0,sect_empl_6.0,sect_empl_3.0,outcome_profit
414,-0.9164137535713724,-1.142158201533439,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,-2.2078286038691384,0.0,0.0,0.5025464995378282,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,0.7216786600422824,0.0,1.7086180039291816,5.216185705004531,-0.9481909083451984,-0.4098750849311718,0.0,0.0,0.0,-0.3606883052242972,0.17052568935119358,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.594212293589981
465,0.7612492329889705,1.2624727857551334,-0.4492132575173176,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.01655206941938245,1.0,0.575539508771572,0.0,0.0,1.2423407321683255,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,-0.8836178006136794,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,1.0,0.0,-1.961373810313072,-0.6425071826003536,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.670501808006224
491,-0.8960654866210384,-1.142158201533439,-0.4128526225804511,-0.4090329055057807,-0.4522855472547795,0.759441746621429,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.01655206941938245,0.0,-2.2078286038691384,0.0,0.0,1.4272892903259502,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.1971866421077315,-0.4994353526443309,-0.559379703609901,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,1.0,0.0,-0.3164052103247713,1.1245522855031815,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.666723197494797
470,-0.9164137535713724,0.9908658127243926,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.98062833409931,1.0,-0.35224986210866466,0.0,0.0,-0.8537429269514175,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,0.08591768552506986,0.0,3.7697341519779815,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,0.05334453192182224,0.5028940896752063,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.462221024710931
11,-0.5266270681346273,-0.048625199771797765,-0.5912564289982791,-0.4090329055057807,-0.4522855472547795,0.9461883242423956,-0.20815979745000354,0.0,0.0,1.0,1.0,0.0,-1.301987088992619,1.0,-0.05356839748444563,0.0,1.0,-1.346939082038416,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,1.1253559288039623,-0.9789819467912612,0.0,-0.35249814411961783,-0.19291022174170488,0.2878352965989627,-0.4098750849311718,0.0,0.0,0.0,1.1419646865261708,1.4295345814993214,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.286927994942361
420,-0.5478003633147117,-0.18818490154705236,1.7971295461728825,2.6337536932868466,1.21637511636102,1.0033142724364008,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,0.3048066854739267,1.0,1.0017952811895592,1.0,0.0,-0.8537429269514175,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.286691197821805,1.1253559288039623,-0.12070463119302426,1.0,-0.35249814411961783,-0.19291022174170488,1.6574552514977832,-0.4098750849311718,0.0,0.0,0.0,0.6324825444334273,-0.2203497751419308,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7.300539090022499
94,-0.10666281581569627,-1.142158201533439,-0.5504696109269874,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.6261654403672359,1.0,-0.05356839748444563,0.0,0.0,0.564196018923703,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,1.157174927586573,0.0,1.7086180039291816,3.6651702031396334,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,0.16731579953792244,-0.29524514695583265,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.726853645343075
321,1.68602316715945,1.3520269314372666,0.2852154154929082,-0.4090329055057807,-0.4522855472547795,1.1838594825513766,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,1.268882950153854,1.0,1.118261499304184,0.0,0.0,0.8724436158530771,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1971866421077315,-0.4994353526443309,1.1381020983510568,0.0,-0.35249814411961783,-0.19291022174170488,-0.6367992759371798,-0.4098750849311718,0.0,1.0,0.0,0.3014722723314405,-0.7701163828610506,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.515896547762745
207,1.2687349649310329,1.1734730192608178,0.2785022271538494,1.8012861068722574,2.88503577997682,0.759441746621429,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-0.6592695792060008,1.0,0.8742209733957916,1.0,0.0,-0.42219629125029373,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.286691197821805,3.2732131720785014,0.16538780733972144,0.0,-0.35249814411961783,-0.19291022174170488,1.216300232492563,-0.4098750849311718,0.0,0.0,0.0,1.5208127103151234,0.477939936072308,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7.04232456952201
362,-0.6782744363683005,-0.028715960287238336,-0.6528125359176128,-0.4090329055057807,-0.4522855472547795,0.4744221194645875,-0.20815979745000354,0.0,0.0,1.0,1.0,0.0,-1.6233458438859285,1.0,0.7331941189565587,0.0,0.0,-1.4702381208101656,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,-0.12070463119302426,0.0,-0.35249814411961783,-0.19291022174170488,0.11646411492254083,-0.4098750849311718,0.0,0.0,0.0,0.3987979004995352,0.08039948789340218,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.1774973633069195
369,-0.6126521062778714,-1.142158201533439,0.7911045025479829,2.558534936628886,2.192479031004742,1.110384525363092,-0.20815979745000354,0.0,0.0,1.0,1.0,0.0,-0.98062833409931,1.0,0.3968054531042224,1.0,0.0,-0.6071448494079182,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04475227785703656,2.750147210252256,0.8520096598183111,0.0,1.7086180039291816,-0.19291022174170488,1.3130977744872772,-0.4098750849311718,0.0,0.0,0.0,-0.991347219135744,-0.02166831983091829,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.62326625912491
7,0.9878189078300084,1.0132286005694322,-0.2263188250972024,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.01655206941938245,1.0,0.575539508771572,0.0,0.0,0.9957426546248266,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.7693607331310734,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,2.306732962023493,1.0,1.0,0.0,-0.7205225360462052,0.21462493968486165,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,8.09057166508094
220,-0.9164137535713724,0.9908658127243926,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,1.268882950153854,1.0,-0.05356839748444563,0.0,0.0,1.3656397709400754,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.7216786600422824,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,-0.3606883052242972,0.17052568935119358,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.357543185565407
237,-0.2919228067117689,0.30122141358492993,-0.6474355296351273,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-1.301987088992619,1.0,-2.2078286038691384,0.0,0.0,0.5025464995378282,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,2.22525336477549,0.0,-0.35249814411961783,-0.19291022174170488,-1.4805184199790682,-0.4098750849311718,0.0,0.0,0.0,0.28911180324777264,-1.1512700899970754,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.065237953072534
428,-0.9164137535713724,-1.142158201533439,0.5605177930560776,-0.4090329055057807,1.21637511636102,1.0878061615763999,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,-0.98062833409931,0.0,-1.2800392329889014,1.0,0.0,-1.2236400432666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,-1.3222928730305559,0.0,-0.35249814411961783,-0.19291022174170488,0.6487916265564105,-0.4098750849311718,0.0,0.0,0.0,0.2679562259807349,-0.5442088189042531,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.1201079553442685
373,1.972892872201496,-1.142158201533439,2.215468059918994,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,0.3048066854739267,1.0,-0.7373172424562897,0.0,0.0,0.5025464995378282,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04475227785703656,-0.4994353526443309,-0.260572045586811,0.0,-0.35249814411961783,-0.19291022174170488,-0.6367992759371798,-0.4098750849311718,0.0,0.0,1.0,0.6075039723938153,0.4754939006248597,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8.022031884110882
304,-0.19725124927227106,0.43823044368821024,-0.6609145961148106,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-1.6233458438859285,1.0,-2.2078286038691384,0.0,0.0,-1.7784857177395397,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,-0.6229558010616222,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,0.0,0.0,0.5775774409182648,0.3704537855321491,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.636570148749204
356,1.9184472048697525,0.3953898731079069,3.0976355282965007,-0.4090329055057807,2.192479031004742,1.1838594825513766,4.8040015999736125,0.0,0.0,1.0,1.0,0.0,-0.3379108243126916,1.0,0.8742209733957916,1.0,0.0,-0.11394869432091985,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.286691197821805,-0.4994353526443309,-0.08891658246716362,0.0,-0.35249814411961783,-0.19291022174170488,2.060019376534452,2.7624983289059277,1.0,0.0,1.0,-0.29884429899856924,-0.6013370648470837,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7.558056635948108
259,-0.2705431186358157,0.040406953065088916,-0.6591103279872921,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,0.6261654403672359,1.0,0.3968054531042224,1.0,0.0,0.37924746076607857,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,1.1253559288039623,0.5023411238338441,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,0.09564886425546687,0.4976498278182299,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.446146825663553
18,2.0800385016305274,0.8954366726350516,1.0837434830504504,-0.4090329055057807,-0.4522855472547795,1.1838594825513766,-0.20815979745000354,1.0,1.0,1.0,1.0,0.0,0.6261654403672359,1.0,-0.7373172424562897,1.0,0.0,-0.42219629125029373,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,1.3860488784127696,0.0,-0.35249814411961783,-0.19291022174170488,1.078568863220692,-0.4098750849311718,0.0,0.0,0.0,0.6433734923456466,-0.4872092301739324,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7.114674867883319
398,0.24406606070855674,-1.142158201533439,0.05826902008933051,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.01655206941938245,1.0,-0.35224986210866466,0.0,0.0,1.7971864066411989,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,1.157174927586573,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,1.0,1.0,1.048663494722054,0.31351775575081897,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.751922114547433
100,4.011374372828728,1.6297920954881393,4.167273519964477,-0.4090329055057807,-0.4522855472547795,0.9236121136219244,-0.20815979745000354,1.0,1.0,0.0,1.0,0.0,-0.3379108243126916,1.0,0.3968054531042224,0.0,0.0,0.9957426546248266,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1971866421077315,-0.4994353526443309,0.6104204895017703,0.0,-0.35249814411961783,-0.19291022174170488,0.6244090624410057,-0.4098750849311718,0.0,1.0,0.0,0.7515594102146045,-0.9394170265074544,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,8.068638559107713
61,-0.9164137535713724,1.1875418156291224,0.23262742731605815,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.947524195260545,1.0,-0.05356839748444563,0.0,0.0,-0.42219629125029373,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.286691197821805,-0.4994353526443309,-1.0234852150074665,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,-1.014125296126136,-0.10917978378218517,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.479748748650547
328,-0.3925556459063312,-1.142158201533439,-0.6754279211960834,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-0.01655206941938245,1.0,0.8742209733957916,0.0,0.0,-0.42219629125029373,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,-0.2287839968609504,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,0.0,0.0,2.1324549579604293,1.4946148256561849,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.626248050037667
399,1.8988574142532921,1.131929251314375,1.7898257203249968,-0.4090329055057807,-0.4522855472547795,0.9667991324851511,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.6592695792060008,1.0,0.575539508771572,0.0,0.0,1.7355368872553243,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.5659172212855654,0.0,-0.35249814411961783,-0.19291022174170488,1.078568863220692,-0.4098750849311718,0.0,1.0,0.0,0.6153334107480244,-0.9394170265074544,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7.059336808291997
252,-0.2888326084964467,0.2799839381360145,-0.26803287779277274,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,1.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,0.3968054531042224,0.0,0.0,0.7491445770813274,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1971866421077315,-0.4994353526443309,0.2988976119883361,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,1.520119821932468,-0.3856700389476263,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.800171039537173
142,-0.9164137535713724,-1.142158201533439,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-1.301987088992619,1.0,-0.05356839748444563,0.0,0.0,-0.11394869432091985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04475227785703656,2.750147210252256,0.22260629504627055,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,-0.7008139374532047,-0.9394170265074544,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.583187473466137
14,1.2304405896878416,1.0779286079502342,-0.1424085223028393,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.947524195260545,1.0,-1.2800392329889014,0.0,0.0,0.8107940964672022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.1844606365752378,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,1.0,0.0,0.017668239219808996,-0.1848593705456136,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.45008666263403
230,0.12538989118833335,-1.142158201533439,-0.08672987449412749,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,1.0,0.0,1.0,0.0,0.947524195260545,1.0,-0.7373172424562897,0.0,0.0,0.5025464995378282,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,-1.0044123857719498,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,0.0,1.0,-1.6236875247341198,-0.2924008341542284,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.624095171705602
315,-0.9164137535713724,0.9908658127243926,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,0.3968054531042224,0.0,0.0,-1.2852895626525411,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.08591768552506986,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,0.05334453192182224,1.8824285891532744,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.505435286320747
410,-0.879503258037308,-0.6296421766529905,-0.6845710498201036,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,-0.05356839748444563,0.0,0.0,-0.6071448494079182,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,1.3479032199417371,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,0.9789195687930046,-0.6901718812512838,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.528264427769903
279,-0.2888326084964467,-1.142158201533439,-0.4985768342729806,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,0.3048066854739267,1.0,0.1904721284239469,0.0,1.0,-1.1619905238807915,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,0.5913476602662538,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,1.880692938036427,1.0,0.0,0.0,-1.0889447791494125,-1.048685645077667,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.605855168703475
434,-0.8473936716475802,-0.700700926427501,-0.6726958850665467,-0.4090329055057807,-0.4522855472547795,1.0628471898273628,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,-0.98062833409931,1.0,-2.2078286038691384,1.0,0.0,-0.6071448494079182,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,3.2732131720785014,-0.3686514112547372,0.0,-0.35249814411961783,-0.19291022174170488,0.9760185882511032,-0.4098750849311718,0.0,0.0,0.0,0.366621146556417,-1.4702229046263164,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.98345015619681
250,-0.8411267243698077,-1.142158201533439,-0.6745166858932823,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,1.268882950153854,0.0,0.1904721284239469,0.0,0.0,1.1190416933965759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,-1.0362004344978104,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,1.0,0.0,-0.9024100273643904,0.4022032753111449,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.526576842770157
